Date,Adj Close,Volume
12/11/2017,24651.74023,1918600000
12/18/2017,24754.06055,1626670000
8/1/2017,20600.15,1923080000
12/25/2017,24719.2207,905900000
1/1/2018,25295.86914,1559220000
8/7/2017,21000.105,1720810000
1/8/2018,25803.18945,1739570000
1/15/2018,26071.7207,2207020000
8/28/2017,21964.5077,1203720000
1/22/2018,26616.71094,2262650000
1/29/2018,25520.96094,2281960000
2/5/2018,24900.90039,3435540000
2/12/2018,25219.38086,2125690000
10/23/2017,23434.18945,2152710000
10/30/2017,23539.18945,1846500000
11/6/2017,23422.21094,1531660000
11/13/2017,23358.24023,2244910000
11/20/2017,23557.99023,1032350000
11/27/2017,24231.58984,1923080000
12/4/2017,24329.16016,1720810000
9/4/2017,21164.767,1321950000
9/11/2017,22268.33984,1274810000
9/18/2017,22349.58984,1794560000
9/23/2017,23000.15,1517400000
9/25/2017,22949.21984,1499120000
10/2/2017,22773.66992,1210940000
10/9/2017,22871.7207,1497390000
10/16/2017,23328.63086,1616920000
3/26/2018,24103.10938,1997610000
4/2/2018,23932.75977,2036270000
4/9/2018,24360.14063,1703760000
4/16/2018,24462.93945,1868390000
8/14/2017,22392.8105,1918600000
8/21/2017,23392.9105,1389120000
2/19/2018,25309.99023,1591900000
2/26/2018,26180.06055,2307030000
4/20/2018,24462.93945,537769284
3/5/2018,25335.74023,1808620000
3/12/2018,24946.50977,2137840000
3/19/2018,23533.19922,1985560000
